fecha,fase,subevento,potencia_transformadora_real,autonomia_efectiva,verdad_epistemica_parcial,orientacion_liberadora_no_manipuladora,apertura_de_posibilidades,captura_demiurgica,sufrimiento_estructural,riesgo_de_recaida,impacto_ecologico,utilidad_exergica,coeficiente_de_paciente_moral,coeficiente_de_agencia_imputable,intencionalidad_de_dominio,lucidez_del_agente,gratuidad_del_dano,riesgo_de_justificacion_de_crueldad,persistencia_del_dano_base,tipo,persistencia_del_dano,persistencia_del_beneficio,irreversibilidad,penalizacion_estructural,exergia_filosofica_bruta,exergia_real,indice_etico_inmediato,penalizacion_de_atrocidad,indice_etico_ajustado,indice_estrategico_historico,balance_estructural_inicial,imputacion_moral_fuerte,energia_liberadora,energia_degradativa,energia_neta,t,peso_causal,omega,dano_acumulado_incremental,beneficio_acumulado_incremental,dano_acumulado,beneficio_acumulado,saldo_temporal
2026-02-28,Fase 1. Apertura,Activacion de defensas aereas y alarmas en Teheran,0.45,0.62,0.4,0.25,0.22,0.46,0.38,0.55,0.12,0.5,1.0,0.9,0.4,0.72,0.18,0.5,0.8,evento_actual,0.8,0.425,0.428,0.2856,0.3812,0.2965,-0.0205,0.1,-0.1205,0.3256,-0.014,0.3861,2.44,1.51,0.93,0,1.0,0.02,0.0132,0.0093,0.0132,0.0093,-0.0038
2026-02-28,Fase 1. Apertura,Expansion inicial de los ataques a varias provincias iranies,0.7,0.73,0.24,0.06,0.18,0.82,0.7,0.84,0.34,0.66,1.0,1.0,0.82,0.85,0.56,0.82,0.92,evento_actual,0.92,0.33,0.62,0.623,0.3092,0.1905,-0.2164,0.1641,-0.3805,0.3058,-0.2574,0.756,2.57,2.7,-0.13,1,1.0,0.02,0.048,0.0046,0.0611,0.014,-0.0472
2026-02-28,Fase 1. Apertura,Inicio de la guerra con ataques conjuntos de Estados Unidos e Israel sobre Iran,0.88,0.76,0.33,0.08,0.44,0.84,0.78,0.86,0.5,0.72,1.0,1.0,0.88,0.87,0.58,0.88,0.95,evento_actual,0.95,0.34,0.668,0.6902,0.4213,0.2493,-0.247,0.1765,-0.4235,0.4014,-0.2731,0.795,3.21,2.98,0.23,2,1.0,0.02,0.0588,0.0076,0.1199,0.0215,-0.0984
2026-03-01,Fase 1. Apertura,Ataques iranies contra objetivos ligados a Estados Unidos en la region,0.74,0.72,0.2,0.02,0.16,0.83,0.69,0.85,0.3,0.62,1.0,1.0,0.84,0.84,0.64,0.86,0.9,evento_actual,0.9,0.31,0.614,0.6206,0.2441,0.1506,-0.2189,0.1723,-0.3912,0.2959,-0.2767,0.7755,2.46,2.67,-0.21,3,1.0,0.02,0.0428,0.0032,0.1628,0.0247,-0.1381
2026-03-01,Fase 1. Apertura,Primeras oleadas iranies de misiles y drones hacia Israel,0.72,0.7,0.22,0.03,0.16,0.8,0.68,0.83,0.28,0.6,1.0,1.0,0.82,0.82,0.6,0.84,0.9,evento_actual,0.9,0.315,0.608,0.589,0.2614,0.1645,-0.2033,0.168,-0.3713,0.2952,-0.255,0.751,2.43,2.59,-0.16,4,1.0,0.02,0.039,0.0033,0.2018,0.028,-0.1738
2026-03-02,Fase 1. Apertura,Bombardeos continuados sobre Teheran y su periferia,0.76,0.72,0.2,0.04,0.16,0.87,0.75,0.87,0.4,0.68,1.0,1.0,0.88,0.88,0.66,0.88,0.95,evento_actual,0.95,0.32,0.65,0.6838,0.2795,0.166,-0.2604,0.1775,-0.4379,0.2934,-0.3059,0.8145,2.56,2.89,-0.33,5,1.0,0.02,0.0499,0.0033,0.2517,0.0314,-0.2203
2026-03-02,Fase 1. Apertura,Difusion de imagenes de humo y destruccion urbana que consolidan el clima de guerra abierta,0.38,0.45,0.5,0.1,0.2,0.55,0.45,0.72,0.1,0.42,1.0,0.8,0.3,0.65,0.16,0.55,0.7,evento_actual,0.7,0.35,0.47,0.367,0.2993,0.2189,-0.0539,0.11,-0.1639,0.2533,-0.0998,0.3316,2.05,1.82,0.23,6,1.0,0.02,0.0119,0.0047,0.2636,0.036,-0.2276
2026-03-03,Fase 1. Apertura,Se amplian los blancos a infraestructura militar y de mando,0.7,0.74,0.26,0.05,0.16,0.86,0.71,0.86,0.28,0.7,1.0,1.0,0.88,0.88,0.62,0.86,0.92,evento_actual,0.92,0.325,0.626,0.6378,0.3017,0.1842,-0.2195,0.1731,-0.3926,0.2997,-0.2681,0.7985,2.61,2.71,-0.1,7,1.0,0.02,0.0397,0.0036,0.3034,0.0396,-0.2637
2026-03-04,Fase 1. Apertura,Se consolida la regionalizacion del conflicto con impacto en varios paises,0.68,0.68,0.28,0.04,0.2,0.84,0.64,0.88,0.3,0.64,1.0,0.95,0.82,0.82,0.58,0.84,0.9,evento_actual,0.9,0.32,0.584,0.6362,0.2953,0.1805,-0.1962,0.1685,-0.3647,0.3014,-0.2562,0.7116,2.52,2.66,-0.14,8,1.0,0.02,0.0341,0.0035,0.3375,0.0431,-0.2944
2026-03-05,Fase 1. Apertura,Comienzan interrupciones economicas y logisticas visibles en la zona del Golfo,0.58,0.66,0.36,0.08,0.24,0.72,0.44,0.82,0.22,0.56,0.8,0.9,0.62,0.8,0.26,0.72,0.8,evento_actual,0.8,0.34,0.464,0.5194,0.3376,0.2222,-0.0782,0.144,-0.2222,0.3135,-0.1554,0.4154,2.48,2.2,0.28,9,1.0,0.02,0.0184,0.0044,0.3559,0.0476,-0.3083
2026-03-06,Fase 2. Escalada regional,Aumentan las salvas iranies y las interceptaciones sobre Israel,0.7,0.71,0.23,0.03,0.14,0.81,0.66,0.86,0.2,0.58,1.0,1.0,0.84,0.82,0.58,0.84,0.9,evento_actual,0.9,0.315,0.596,0.5804,0.2555,0.1617,-0.1884,0.168,-0.3565,0.2836,-0.2479,0.751,2.39,2.53,-0.14,10,1.0,0.02,0.0296,0.0026,0.3854,0.0502,-0.3353
2026-03-07,Fase 2. Escalada regional,Se intensifican ataques y contrataques sobre ejes regionales,0.72,0.7,0.2,0.02,0.12,0.84,0.7,0.88,0.24,0.6,1.0,1.0,0.85,0.84,0.62,0.86,0.92,evento_actual,0.92,0.31,0.62,0.6182,0.2292,0.1417,-0.2184,0.1725,-0.3909,0.2697,-0.2815,0.7775,2.36,2.66,-0.3,11,1.0,0.02,0.0326,0.0021,0.4181,0.0523,-0.3657
2026-03-08,Fase 2. Escalada regional,Escalada sobre capacidades energeticas y logistica dual,0.74,0.72,0.22,0.03,0.12,0.86,0.72,0.88,0.44,0.66,0.9,1.0,0.86,0.86,0.66,0.88,0.92,evento_actual,0.92,0.315,0.632,0.6918,0.2555,0.151,-0.2249,0.1771,-0.402,0.2679,-0.3109,0.7191,2.49,2.9,-0.41,12,1.0,0.02,0.037,0.0023,0.455,0.0547,-0.4004
