fecha,fase,subevento,potencia_transformadora_real,autonomia_efectiva,verdad_epistemica_parcial,orientacion_liberadora_no_manipuladora,apertura_de_posibilidades,captura_demiurgica,sufrimiento_estructural,riesgo_de_recaida,impacto_ecologico,utilidad_exergica,coeficiente_de_paciente_moral,coeficiente_de_agencia_imputable,intencionalidad_de_dominio,lucidez_del_agente,gratuidad_del_dano,riesgo_de_justificacion_de_crueldad,persistencia_del_dano_base,tipo,persistencia_del_dano,persistencia_del_beneficio,irreversibilidad,penalizacion_estructural,exergia_filosofica_bruta,exergia_real,indice_etico_inmediato,penalizacion_de_atrocidad,indice_etico_ajustado,indice_estrategico_historico,balance_estructural_inicial,imputacion_moral_fuerte,energia_liberadora,energia_degradativa,energia_neta
2026-04-08,Escenario futuro,Alto el fuego de 45 dias seguido de negociacion permanente,0.58,0.62,0.66,0.64,0.78,0.2,0.16,0.42,0.08,0.64,1.0,0.85,0.18,0.7,0.08,0.22,0.7,posibilidad_futura,0.7,0.62,0.296,0.166,0.6506,0.558,0.1259,0.044,0.0819,0.5582,0.1785,0.2252,3.92,0.86,3.06
2026-04-08,Escenario futuro,Extension del alto el fuego sin acuerdo final,0.5,0.54,0.56,0.44,0.56,0.36,0.18,0.62,0.08,0.54,1.0,0.8,0.2,0.62,0.1,0.3,0.58,posibilidad_futura,0.58,0.52,0.308,0.2618,0.5215,0.4133,0.053,0.06,-0.007,0.4236,0.0749,0.2344,3.14,1.24,1.9
2026-04-08,Escenario futuro,Fracaso inmediato de la mediacion y reanudacion de bombardeos intensos,0.82,0.76,0.18,0.01,0.06,0.96,0.88,0.96,0.7,0.76,1.0,1.0,0.94,0.9,0.9,0.96,0.96,posibilidad_futura,0.96,0.305,0.728,0.8666,0.1927,0.1032,-0.3716,0.2001,-0.5718,0.22,-0.4486,0.919,2.59,3.5,-0.91
2026-04-09,Escenario futuro,Ataques masivos contra puentes y centrales electricas de Iran,0.88,0.8,0.16,0.01,0.04,0.99,0.94,0.97,0.8,0.78,1.0,1.0,0.98,0.94,0.94,0.98,0.98,posibilidad_futura,0.98,0.305,0.764,0.923,0.181,0.0941,-0.419,0.2109,-0.6299,0.2002,-0.4941,0.96,2.67,3.7,-1.03
2026-04-09,Escenario futuro,Reapertura parcial de Ormuz sin acuerdo politico estable,0.5,0.46,0.4,0.26,0.44,0.46,0.22,0.7,0.12,0.56,0.8,0.8,0.24,0.58,0.16,0.34,0.44,posibilidad_futura,0.44,0.43,0.332,0.3306,0.425,0.3194,-0.0055,0.068,-0.0735,0.3667,-0.0062,0.2131,2.62,1.5,1.12
2026-04-10,Escenario futuro,Reapertura monitorizada de Ormuz con garantias regionales,0.56,0.6,0.62,0.54,0.7,0.22,0.12,0.42,0.06,0.62,0.8,0.75,0.16,0.62,0.08,0.24,0.68,posibilidad_futura,0.68,0.57,0.272,0.1634,0.6046,0.5197,0.0847,0.048,0.0367,0.5312,0.1568,0.1452,3.64,0.82,2.82
2026-04-10,Escenario futuro,Escalada regional mayor en el Golfo y el Levante,0.86,0.78,0.18,0.01,0.06,0.97,0.9,0.96,0.82,0.72,1.0,0.95,0.92,0.88,0.88,0.96,0.96,posibilidad_futura,0.96,0.305,0.74,0.9104,0.1933,0.1012,-0.3962,0.2019,-0.5981,0.216,-0.474,0.8654,2.61,3.65,-1.04
2026-04-11,Escenario futuro,Guerra prolongada de desgaste con choque energetico global,0.78,0.66,0.22,0.02,0.1,0.92,0.86,0.94,0.76,0.64,0.95,0.95,0.82,0.82,0.76,0.9,0.92,posibilidad_futura,0.92,0.31,0.716,0.8486,0.2292,0.124,-0.3393,0.1844,-0.5237,0.2305,-0.4252,0.7527,2.42,3.48,-1.06
2026-04-11,Escenario futuro,Nuevo ataque contra Bushehr con incidente radiologico,0.82,0.76,0.12,0.0,0.02,1.0,0.98,1.0,1.0,0.76,1.0,1.0,1.0,0.96,0.98,1.0,1.0,posibilidad_futura,1.0,0.3,0.8,1.0,0.0,0.0,-0.4712,0.2204,-0.6917,0.156,-0.5937,0.985,2.48,3.98,-1.5
2026-04-12,Escenario futuro,Congelacion operativa de ataques pero sin levantamiento de sanciones,0.42,0.5,0.54,0.34,0.38,0.42,0.16,0.6,0.06,0.48,1.0,0.8,0.2,0.58,0.1,0.28,0.46,posibilidad_futura,0.46,0.47,0.296,0.2686,0.4377,0.345,0.0295,0.056,-0.0265,0.3487,0.0386,0.2352,2.66,1.24,1.42
2026-04-12,Escenario futuro,Acuerdo de desescalada con supervision internacional nuclear y maritima,0.62,0.64,0.7,0.68,0.82,0.18,0.1,0.34,0.08,0.66,1.0,0.8,0.12,0.62,0.06,0.18,0.76,posibilidad_futura,0.76,0.64,0.26,0.139,0.6838,0.6004,0.1478,0.036,0.1118,0.5977,0.2075,0.1736,4.12,0.7,3.42
2026-04-13,Escenario futuro,Ataques ampliados a universidades y nodos civiles,0.7,0.72,0.14,0.0,0.04,0.98,0.92,0.96,0.66,0.7,1.0,1.0,0.96,0.92,0.96,0.98,0.98,posibilidad_futura,0.98,0.3,0.752,0.8702,0.0,0.0,-0.3969,0.2082,-0.6051,0.1843,-0.5159,0.95,2.3,3.52,-1.22
2026-04-13,Escenario futuro,Golpe economico prolongado sin escalada militar terminal,0.56,0.58,0.34,0.1,0.18,0.74,0.42,0.86,0.34,0.56,0.9,0.85,0.56,0.78,0.4,0.72,0.82,posibilidad_futura,0.82,0.35,0.452,0.579,0.3219,0.2039,-0.1098,0.144,-0.2538,0.2694,-0.1817,0.4491,2.32,2.36,-0.04
2026-04-14,Escenario futuro,Canal diplomatico Pakistan-China-Golfo logra congelar la crisis,0.54,0.6,0.64,0.58,0.72,0.2,0.1,0.4,0.06,0.6,1.0,0.75,0.1,0.6,0.06,0.18,0.72,posibilidad_futura,0.72,0.59,0.26,0.154,0.6109,0.5293,0.1138,0.036,0.0778,0.53,0.1682,0.159,3.68,0.76,2.92
2026-04-14,Escenario futuro,Iran mantiene Ormuz parcialmente cerrado como palanca prolongada,0.72,0.8,0.3,0.02,0.1,0.9,0.52,0.88,0.42,0.8,0.8,0.95,0.86,0.86,0.66,0.88,0.86,posibilidad_futura,0.86,0.31,0.512,0.714,0.2552,0.1489,-0.1491,0.179,-0.3281,0.2703,-0.281,0.5905,2.74,2.72,0.02
2026-04-15,Escenario futuro,Estados Unidos reduce su implicacion militar directa,0.42,0.48,0.5,0.34,0.44,0.34,0.14,0.54,0.04,0.46,1.0,0.7,0.14,0.56,0.08,0.2,0.54,posibilidad_futura,0.54,0.47,0.284,0.2202,0.4367,0.3579,0.0376,0.04,-0.0024,0.3683,0.0602,0.1764,2.64,1.06,1.58
2026-04-15,Escenario futuro,Israel intensifica la campaña sin respaldo diplomatico suficiente,0.76,0.74,0.16,0.01,0.06,0.96,0.88,0.96,0.68,0.72,1.0,1.0,0.94,0.92,0.9,0.96,0.96,posibilidad_futura,0.96,0.305,0.728,0.8606,0.1841,0.0989,-0.3733,0.2001,-0.5734,0.2122,-0.4482,0.923,2.45,3.48,-1.03
2026-04-16,Escenario futuro,Intercambio limitado seguido de canje politico parcial,0.46,0.52,0.56,0.42,0.5,0.3,0.14,0.52,0.06,0.5,1.0,0.8,0.16,0.56,0.08,0.22,0.56,posibilidad_futura,0.56,0.51,0.284,0.21,0.4913,0.406,0.0571,0.044,0.0131,0.4087,0.0892,0.1992,2.96,1.02,1.94
2026-04-16,Escenario futuro,Colapso del canal diplomatico y nueva fase de guerra total,0.9,0.82,0.14,0.0,0.02,1.0,0.96,0.99,0.86,0.78,1.0,1.0,0.98,0.94,0.98,1.0,1.0,posibilidad_futura,1.0,0.3,0.776,0.955,0.0,0.0,-0.4407,0.218,-0.6587,0.1676,-0.5665,0.973,2.66,3.81,-1.15
